transcript,average read density,Spearman's coefficient,Pearson's coefficient
YDR082W,0.0199233716475,0.103950974377,0.0683542314425
YDR348C,1.22878787879,0.51944567541,0.575949514207
YKL182W,12.1987951807,0.582559707055,0.574548205233
YDR333C,0.59186746988,0.477443282996,0.495121594565
YKL018C-A,1.30833333333,0.604856666372,0.620499411265
YPL027W,0.00179211469534,0.0801039546774,0.0473515632803
YIR012W,2.82258064516,0.526686391462,0.589913169608
YLR363C,0.918238993711,0.636172910134,0.54677532479
YDR179C,0.391585760518,0.360978945194,0.473931224814
YLR431C,0.093062605753,0.263763165381,0.364986254229
YKR046C,0.654761904762,0.461095328935,0.534483284517
YJR005W,0.479459178367,0.507320279852,0.495680895937
YJL116C,0.276978417266,0.238350297699,0.0354091424535
YER030W,7.1170212766,0.509316520617,0.52991597128
YHR041C,0.675496688742,0.459196233503,0.369518724153
YJR072C,2.46216768916,0.585927883581,0.450303411719
YDR047W,1.24422442244,0.465205091326,0.494310374318
YKR039W,0.179864947821,0.267036476523,0.322568645541
YGL003C,0.205785667324,0.318368572665,0.325947709654
YPL009C,6.18692543412,0.486969944037,0.221922698869
YDR268W,0.30625,0.294010368317,0.293865811864
YGL192W,0.000616142945163,-0.0272792492854,-0.0241079521708
YDL117W,0.357546408394,0.409075353707,0.411939690927
YMR131C,3.40339233038,0.526182029574,0.545745066312
YMR293C,0.114403292181,0.304577325323,0.334498740366
YJL214W,0.265359477124,0.0801714934657,0.0819572533438
YIL105C,2.6533758639,0.452226062099,0.329288012273
YML126C,12.1697530864,0.509377143509,0.505627713448
YLR189C,0.203980099502,0.344236787667,0.39146126809
YIL150C,0.20703125,0.32346930235,0.407812670613
YGL250W,0.197132616487,0.150218346091,0.195075812832
YBR212W,0.932028276237,0.520217785342,0.637583291228
YJR109C,1.83537928864,0.518023205782,0.50923074669
YLR254C,0.515384615385,0.442058226477,0.62581578295
YGR085C,151.005797101,0.677527154555,0.567689214471
YPL105C,0.662025316456,0.442938325019,0.475017785674
YGR145W,1.27726337449,0.451498769805,0.449285303808
YGR110W,0.0267702936097,0.220051123085,0.245612689324
YGL154C,0.0829420970266,0.146556342889,0.233797273768
YBR129C,0.422552664188,0.335933382467,0.384079479764
YDL215C,0.539851565021,0.377551184866,0.3732404539
YKL099C,1.9092495637,0.584978557054,0.563913189724
YDR315C,0.0630630630631,0.174289489318,0.142065861036
YLR394W,0.00394011032309,0.0121811204856,0.00583873740996
YNL104C,5.7875,0.459748346635,0.448830054169
YNL151C,2.02777777778,0.418502498112,0.333615526887
YNR066C,0.0663129973475,0.182319931136,0.152706875888
YLR220W,1.36882129278,0.522990373368,0.56129032509
YHR006W,0.553250345781,0.453495928592,0.466016719525
YMR232W,0.0118662351672,0.0526826355434,0.042391061298
YNL083W,0.145593869732,0.379583363379,0.424074401555
YGR038C-A,102.132983377,0.624435886903,0.571465476361
