transcript,average read density,Spearman's coefficient,Pearson's coefficient
YHR126C,19.2433333333,0.111593329689,0.098295511719
YKR084C,3.82971014493,0.606580096152,0.52714579843
YER121W,0.266666666667,0.0793008816982,0.0929978080419
YCR046C,4.78484848485,0.588821239877,0.350529744766
YKL204W,3.4281559046,0.595718180528,0.586926124922
YOR266W,0.399267399267,0.447301046986,0.492454018611
YDR393W,0.509655751469,0.417091834373,0.438935142933
YGR186W,3.70463510848,0.489078257244,0.458509823407
YPR194C,0.0277098614507,0.150276411071,0.14000064145
YGR019W,3.58090614887,0.633154075139,0.60518097326
YBL033C,2.8006993007,0.455709000969,0.362133776085
YLL057C,0.0349386213409,0.139362145675,0.0873693498213
YPL060C-A,0.0346146490725,0.102346101636,0.110685261031
YNL229C,3.81016949153,0.483672548535,0.537518292704
YNL277W,0.945355191257,0.497713031668,0.436207096033
YMR040W,0.108910891089,0.144903348192,0.267826530222
YDR077W,102.381123059,0.288919838758,0.269874642162
YMR266W,2.71290082028,0.552069270294,0.52554635807
YKR064W,0.279850746269,0.350971308225,0.353155454303
YPL089C,1.68881685575,0.299157334223,-0.00995543430052
YGR277C,2.31978319783,0.367094875233,0.468742448496
YDL139C,0.766260162602,0.323218871665,0.260973191449
YDR246W,1.81458333333,0.476124407678,0.574146012203
YOR288C,2.0,0.580813227987,0.652897006912
YCR028C,1.17071376012,0.440255587875,0.410211350315
YML054C,0.046992481203,0.0869656781209,0.0879945243618
YLR179C,31.9389671362,0.565377668087,0.529451158297
YOR141C,1.74533657745,0.49567192745,0.425542670542
YPL280W,0.00374531835206,-0.0082984337199,-0.00333154563656
YBL106C,0.366281107606,0.394672683201,0.405054044922
YGL044C,2.58509142053,0.517958762355,0.641462909617
YER107C,3.20806100218,0.601851718947,0.556142524584
YBR038W,2.5191740413,0.551886519186,0.570155536736
YEL047C,7.47850770479,0.502349930115,0.469329491666
YPR016C,17.4211469534,0.629421846166,0.663107821218
YLR157C,0.229922992299,0.185217381951,0.139404098517
YDL055C,106.971302428,0.563668122843,0.429962922763
YML072C,6.92305966801,0.56710432752,0.520482318719
YDR142C,0.450421940928,0.453956219974,0.392377839789
YFL044C,2.41460055096,0.52121841798,0.541826331628
YKL019W,1.81322957198,0.523402996977,0.516276452488
YJL130C,16.2477958237,0.62521240723,0.575356734009
YBL085W,1.56315598987,0.54387954369,0.18103379051
YFL011W,0.123887748118,0.106551297019,0.0338741802949
YDR082W,0.0605363984674,0.16595542548,0.184362251209
YDR348C,3.00378787879,0.606895082237,0.564603633851
YKL182W,31.7787817938,0.59920764739,0.572889330411
YDR333C,1.56024096386,0.588026402004,0.573645600989
YKL018C-A,3.625,0.599644072297,0.632431387501
YPL027W,0.00716845878136,0.148407799546,0.0679929286197
YIR012W,7.74372759857,0.575142187087,0.588165878034
YLR363C,2.31236897275,0.606319605664,0.536733619388
YDR179C,1.03236245955,0.403574625037,0.51953468478
YLR431C,0.236886632826,0.436626093034,0.485448793289
YKR046C,1.79166666667,0.531754671841,0.473207472617
YJR005W,1.17212688508,0.547295551942,0.513395534659
YJL116C,0.599520383693,0.427123602868,0.123461135092
YER030W,15.9361702128,0.593323546904,0.521750381415
YHR041C,2.0706401766,0.508560731691,0.392111147634
YJR072C,6.40695296524,0.647943615609,0.519151130608
YDR047W,3.4697469747,0.575816699333,0.594130508643
YKR039W,0.448127685697,0.430758508807,0.374639278269
YGL003C,0.606837606838,0.406608230316,0.410869176994
YPL009C,11.2516172966,0.489062652292,0.0451686836951
YDR268W,0.855208333333,0.457926472711,0.441949645616
YGL192W,0.000616142945163,-0.0176350702451,-0.0212707819334
YDL117W,0.997982243745,0.473018078635,0.473811354531
YMR131C,8.51179941003,0.535958678394,0.508697742821
YMR293C,0.344032921811,0.403972335717,0.423315315632
YJL214W,0.543790849673,0.0815740909499,0.00768722343439
YIL105C,5.89048378522,0.494177136301,0.432431660707
YML126C,30.9405864198,0.56745227993,0.56776275205
YLR189C,0.524143985953,0.415321104883,0.460074528403
YIL150C,0.568359375,0.415116497149,0.497534467098
YGL250W,0.564516129032,0.334991315499,0.3498373406
YBR212W,2.52147906471,0.618403819083,0.747601575224
YJR109C,4.83663833805,0.589915165662,0.569532175668
YLR254C,1.15641025641,0.561785687683,0.763809518227
YGR085C,370.313043478,0.666965203388,0.594266099703
YPL105C,1.74810126582,0.535296762462,0.529697909845
YGR145W,3.15432098765,0.50152111723,0.47549255468
YGR110W,0.0751295336788,0.165295168235,0.241663808672
YGL154C,0.20813771518,0.151712979997,0.180334452695
YBR129C,1.14993804213,0.463751630037,0.405443862415
YDL215C,1.42142626654,0.487953616537,0.4553400221
YKL099C,5.25828970332,0.654512857877,0.535715423101
YDR315C,0.18018018018,0.231140692519,0.230596327795
YLR394W,0.0126083530339,0.0318124131692,0.0265083688372
YNL104C,14.9821428571,0.496601460211,0.439722503832
